Municipality name;Official municipality code (AGS);Name of municipality ass.;Code of municipality associations (RS)
Rodeberg;16064055;Südeichsfeld;160645052.0
Schönstedt;16064058;Unstrut-Hainich;160645054.0
Sundhausen;16064061;Bad Tennstedt;160645001.0
Tottleben;16064062;Bad Tennstedt;160645001.0
Urleben;16064064;Bad Tennstedt;160645001.0
Unstruttal;16064071;Unstruttal;160640071.0
Menteroda;16064072;Menteroda;160640072.0
Anrode;16064073;Anrode;160640073.0
Südeichsfeld;16064074;Südeichsfeld;160645052.0
Vogtei;16064075;Vogtei;160645053.0
Unstrut-Hainich;16064076;Unstrut-Hainich;160645054.0
Nottherthal-Heinger Höhen, Stadt;16064077;Notterthal-Heilinger Höhen, Stadt;160645055.0
Abtsbessingen;16065001;Ebeleben, Stadt;160655052.0
Bad Frankenhausen/Kyffhäuser, Stadt;16065003;Bad Frankenhausen/Kyffhäuser, Stadt;160650003.0
